StartTime   Error   TimeTaken   GlueVersion DPU_hours  NumWorkers RunID Size    Source  EndTime Timeout   WorkerType
2026-02-11T02:21:03.085000+00:00	None	202	5.0	40.0	20	jr_75eef07f6fe737aaaf43b9059138b2c417a44e6d568105ef8dab061f4015cd35	98.8	pes2o	2026-02-11T02:16:43.957000+00:00	1200	G.2X
2026-02-11T00:17:12.318000+00:00	None	17057	5.0	16.0	8	jr_e6eb402be494dba55f4a0b40312f99f555f8a589be062a2b9e6d1c5aaa3cc08a	22.2	sangraha_hi	2026-02-10T19:32:47.968000+00:00	1200	G.2X
2026-02-10T20:39:16.896000+00:00	None	8697	5.0	16.0	8	jr_ac64c16ff9431d4a57b33d24a5727c599448a09e141decc89170fe8a586bc8f8	17.7	sangraha_bn	2026-02-10T18:14:09.075000+00:00	1200	G.2X
2026-02-10T20:57:55.310000+00:00	None	11172	5.0	16.0	8	jr_0118e81ed46453f0ed253a110a0cc2051192059383c883b97b49a08139b4e10c	16.5	cc_news	2026-02-10T17:51:33.633000+00:00	1200	G.2X
2026-02-10T20:51:12.960000+00:00	None	15172	5.0	10.0	5	jr_5b4115df0cdfb73b5f22ddc4ca807ad89b44c8481ddc5071465a1010a27f2977	12.1	proof_pile_2-open_web_math	2026-02-10T16:38:10.313000+00:00	1200	G.2X
2026-02-10T21:18:50.051000+00:00	None	16836	5.0	16.0	8	jr_663562fdc39c3abf1325a44fbe7f8f2f7e6d5df9ce5b49b94c849b9d22fe68f0	27.1	flan	2026-02-10T16:38:04.123000+00:00	1200	G.2X
2026-02-10T19:11:24.765000+00:00	None	9203	5.0	16.0	8	jr_ab9161a8f9726f6b5cacf9d663e0643610152da69a37b3cd2d9c5f6ef6f9656c	28.3	megawika	2026-02-10T16:37:50.244000+00:00	1200	G.2X
2026-02-10T19:24:10.198000+00:00	None	10028	5.0	10.0	5	jr_0590d8485b95e74100380e646c8b5869a58e662205aa15e9e5e12f8295585f96	3.0	sangraha_ta	2026-02-10T16:36:52.201000+00:00	1200	G.2X
2026-02-10T17:56:39.495000+00:00	None	4789	5.0	10.0	5	jr_0e3586513be64fbbc3edc6dcbb379620b942fd7d7538ccf8a3088296aaec8844	4.5	sangraha_kn	2026-02-10T16:36:40.795000+00:00	1200	G.2X
2026-02-10T18:09:23.741000+00:00	None	5564	5.0	10.0	5	jr_674c9378251d3cf94201f527b10965dbba7d7a021b04c69dbcabdf8c78de80fd	6.0	sangraha_gu	2026-02-10T16:36:29.118000+00:00	1200	G.2X
2026-02-10T20:57:31.241000+00:00	None	15735	5.0	10.0	5	jr_a7304866f0f617a5d45fb434f32ec2d6b73f34797333971360a7b95e1f7338c2	10.3	proof_pile_2-algebraic_stack	2026-02-10T16:35:00.453000+00:00	1200	G.2X
2026-02-10T18:35:36.031000+00:00	None	7237	5.0	10.0	5	jr_f61afe6acfd91ea29d315f30bc9ad7d66ddcf7113228a63755e37f73a711ad69	7.6	sangraha_mr	2026-02-10T16:34:49.150000+00:00	1200	G.2X
